Date,Price,Date,Open,High,Low,Close Price,Vol.,Change %,Absolute Value,volatility (in $),Daily volatilit ( in %),,,,Highest Price Ever,Lowest Price Ever,Standard Deviation,Highest Price Movement,Lowest Price Movement,Average daily Volatility ,Highest Price (prevision),Lowest Price (prevision)
03/31/2023,"4,109.31",03/31/2023,"4,056.18","4,110.75","4,056.18","4,109.31",,1.44%,1%,54.57,1.35%,,,,,,,,,,,
03/30/2023,"4,050.83",03/30/2023,"4,046.74","4,057.85","4,032.10","4,050.83",,0.57%,1%,25.75,0.64%,,,,,,,,,,,
03/29/2023,"4,027.81",03/29/2023,"3,999.53","4,030.59","3,999.53","4,027.81",,1.42%,1%,31.06,0.78%,,,,,,,,,,,
03/28/2023,"3,971.27",03/28/2023,"3,974.13","3,979.20","3,951.53","3,971.27",,-0.16%,0%,27.67,0.70%,,,,,,,,,,,
03/27/2023,"3,977.53",03/27/2023,"3,982.93","4,003.83","3,970.49","3,977.53",,0.16%,0%,33.34,0.84%,,,,,,,,,,,
03/24/2023,"3,970.99",03/24/2023,"3,939.21","3,972.74","3,909.16","3,970.99",,0.56%,1%,63.58,1.61%,,,,,,,,,,,
03/23/2023,"3,948.72",03/23/2023,"3,959.21","4,007.66","3,919.05","3,948.72",,0.30%,0%,88.61,2.24%,,,,,,,,,,,
03/22/2023,"3,936.97",03/22/2023,"4,002.04","4,039.49","3,936.17","3,936.97",,-1.65%,2%,103.32,2.58%,,,,,,,,,,,
03/21/2023,"4,002.87",03/21/2023,"3,975.89","4,009.08","3,971.19","4,002.87",,1.30%,1%,37.89,0.95%,,,,,,,,,,,
03/20/2023,"3,951.57",03/20/2023,"3,917.47","3,956.62","3,916.89","3,951.57",,0.89%,1%,39.73,1.01%,,,,,,,,,,,
03/17/2023,"3,916.64",03/17/2023,"3,958.69","3,958.91","3,901.27","3,916.64",,-1.10%,1%,57.64,1.46%,,,,,,,,,,,
03/16/2023,"3,960.28",03/16/2023,"3,878.93","3,964.46","3,864.11","3,960.28",,1.76%,2%,100.35,2.59%,,,,,,,,,,,
03/15/2023,"3,891.93",03/15/2023,"3,876.74","3,894.26","3,838.24","3,891.93",,-0.70%,1%,56.02,1.45%,,,,,,,,,,,
03/14/2023,"3,919.29",03/14/2023,"3,894.01","3,937.29","3,873.63","3,919.29",,1.65%,2%,63.66,1.63%,,,,,,,,,,,
03/13/2023,"3,855.76",03/13/2023,"3,835.12","3,905.05","3,808.86","3,855.76",,-0.15%,0%,96.19,2.51%,,,,,,,,,,,
03-10-2023,"3,861.59",03-10-2023,"3,912.77","3,934.05","3,846.32","3,861.59",,-1.45%,1%,87.73,2.24%,,,,,,,,,,,
03-09-2023,"3,918.32",03-09-2023,"3,998.66","4,017.81","3,908.70","3,918.32",,-1.85%,2%,109.11,2.73%,,,,,,,,,,,
03-08-2023,"3,992.01",03-08-2023,"3,987.55","4,000.41","3,969.76","3,992.01",,0.14%,0%,30.65,0.77%,,,,,,,,,,,
03-07-2023,"3,986.37",03-07-2023,"4,048.26","4,050.00","3,980.31","3,986.37",,-1.53%,2%,69.69,1.72%,,,,,,,,,,,
03-06-2023,"4,048.42",03-06-2023,"4,055.15","4,078.49","4,044.61","4,048.42",,0.07%,0%,33.88,0.84%,,,,,,,,,,,
03-03-2023,"4,045.64",03-03-2023,"3,998.02","4,048.29","3,995.17","4,045.64",,1.61%,2%,53.12,1.33%,,,,,,,,,,,
03-02-2023,"3,981.35",03-02-2023,"3,938.68","3,990.84","3,928.16","3,981.35",,0.76%,1%,62.68,1.59%,,,,,,,,,,,
03-01-2023,"3,951.39",03-01-2023,"3,963.34","3,971.73","3,939.05","3,951.39",,-0.47%,0%,32.68,0.82%,,,,,,,,,,,
02/28/2023,"3,970.15",02/28/2023,"3,977.19","3,997.50","3,968.98","3,970.15",,-0.30%,0%,28.52,0.72%,,,,,,,,,,,
02/27/2023,"3,982.24",02/27/2023,"3,992.36","4,018.05","3,973.55","3,982.24",,0.31%,0%,44.5,1.11%,,,,,,,,,,,
02/24/2023,"3,970.04",02/24/2023,"3,973.24","3,978.25","3,943.08","3,970.04",,-1.05%,1%,35.17,0.89%,,,,,,,,,,,
02/23/2023,"4,012.32",02/23/2023,"4,018.60","4,028.30","3,969.19","4,012.32",,0.53%,1%,59.11,1.47%,,,,,,,,,,,
02/22/2023,"3,991.05",02/22/2023,"4,001.83","4,017.37","3,976.90","3,991.05",,-0.16%,0%,40.47,1.01%,,,,,,,,,,,
02/21/2023,"3,997.34",02/21/2023,"4,052.35","4,052.35","3,995.19","3,997.34",,-2.00%,2%,57.16,1.41%,,,,,,,,,,,
02/17/2023,"4,079.09",02/17/2023,"4,077.39","4,081.51","4,047.95","4,079.09",,-0.28%,0%,33.56,0.82%,,,,,,,,,,,
02/16/2023,"4,090.41",02/16/2023,"4,114.75","4,136.54","4,089.49","4,090.41",,-1.38%,1%,47.05,1.14%,,,,,,,,,,,
02/15/2023,"4,147.60",02/15/2023,"4,119.50","4,148.11","4,103.98","4,147.60",,0.28%,0%,44.13,1.07%,,,,,,,,,,,
